,0
0,-15.359999656677246
1,-13.489999771118164
2,-16.899999618530273
3,-12.399999618530273
4,-11.369999885559082
5,-13.09000015258789
6,-11.369999885559082
7,-11.369999885559082
8,-13.510000228881836
9,-11.369999885559082
10,-11.369999885559082
11,-11.369999885559082
12,-11.369999885559082
13,-13.09000015258789
14,-11.369999885559082
15,-12.399999618530273
16,-14.609999656677246
17,-13.510000228881836
18,-11.369999885559082
19,-13.09000015258789
20,-13.09000015258789
21,-14.65999984741211
22,-14.680000305175781
23,-12.569999694824219
24,-12.569999694824219
25,-16.200000762939453
26,-14.550000190734863
27,-12.569999694824219
28,-12.569999694824219
29,-12.569999694824219
30,-12.569999694824219
31,-12.569999694824219
32,-12.569999694824219
33,-13.510000228881836
34,-15.829999923706055
35,-11.369999885559082
36,-12.399999618530273
37,-11.369999885559082
38,-13.489999771118164
39,-14.65999984741211
40,-11.369999885559082
41,-11.369999885559082
42,-12.399999618530273
43,-12.399999618530273
44,-14.550000190734863
45,-12.569999694824219
46,-12.569999694824219
47,-14.680000305175781
48,-12.569999694824219
49,-12.569999694824219
50,-16.389999389648438
51,-16.809999465942383
52,-13.510000228881836
53,-11.369999885559082
54,-11.369999885559082
55,-11.369999885559082
56,-13.09000015258789
57,-13.09000015258789
58,-11.369999885559082
59,-13.489999771118164
60,-12.399999618530273
61,-11.369999885559082
62,-13.09000015258789
63,-11.369999885559082
64,-15.029999732971191
65,-13.09000015258789
66,-13.489999771118164
67,-11.369999885559082
68,-13.09000015258789
69,-16.809999465942383
70,-13.510000228881836
71,-13.510000228881836
72,-14.65999984741211
73,-11.369999885559082
74,-13.510000228881836
75,-13.09000015258789
76,-13.510000228881836
77,-13.489999771118164
78,-13.09000015258789
79,-14.699999809265137
80,-15.65999984741211
81,-15.029999732971191
82,-11.369999885559082
83,-11.369999885559082
84,-11.369999885559082
85,-13.09000015258789
86,-13.09000015258789
87,-11.369999885559082
88,-11.369999885559082
89,-11.369999885559082
90,-13.510000228881836
91,-13.489999771118164
92,-11.369999885559082
93,-13.510000228881836
94,-14.680000305175781
95,-16.1299991607666
96,-16.200000762939453
97,-11.369999885559082
98,-13.489999771118164
99,-11.369999885559082
100,-15.359999656677246
101,-17.149999618530273
102,-11.369999885559082
103,-16.020000457763672
104,-11.369999885559082
105,-11.369999885559082
106,-11.369999885559082
107,-15.029999732971191
108,-13.510000228881836
109,-13.09000015258789
110,-13.489999771118164
111,-13.489999771118164
112,-11.369999885559082
113,-11.369999885559082
114,-11.369999885559082
115,-13.489999771118164
116,-11.369999885559082
117,-11.369999885559082
118,-12.399999618530273
119,-15.029999732971191
120,-15.65999984741211
121,-12.569999694824219
122,-15.65999984741211
123,-14.65999984741211
124,-11.369999885559082
125,-17.90999984741211
126,-15.359999656677246
127,-16.200000762939453
128,-15.829999923706055
129,-12.399999618530273
130,-11.369999885559082
131,-12.399999618530273
