,0
0,-6.309999942779541
1,-6.309999942779541
2,-8.34000015258789
3,-8.34000015258789
4,-6.309999942779541
5,-10.670000076293945
6,-9.90999984741211
7,-8.34000015258789
8,-10.039999961853027
9,-8.34000015258789
10,-6.309999942779541
11,-8.34000015258789
12,-8.34000015258789
13,-6.309999942779541
14,-6.309999942779541
15,-6.309999942779541
16,-6.309999942779541
17,-6.309999942779541
18,-6.309999942779541
19,-9.90999984741211
20,-10.039999961853027
21,-9.90999984741211
22,-10.039999961853027
23,-9.220000267028809
24,-10.039999961853027
25,-7.940000057220459
26,-10.670000076293945
27,-9.979999542236328
28,-8.34000015258789
29,-6.309999942779541
30,-6.309999942779541
31,-6.309999942779541
32,-8.34000015258789
33,-6.309999942779541
34,-6.309999942779541
35,-6.309999942779541
36,-7.940000057220459
37,-7.940000057220459
38,-10.039999961853027
39,-7.940000057220459
40,-8.949999809265137
41,-7.940000057220459
42,-8.34000015258789
43,-8.34000015258789
44,-7.940000057220459
45,-10.039999961853027
46,-6.309999942779541
47,-6.309999942779541
48,-6.309999942779541
49,-8.34000015258789
50,-7.940000057220459
51,-6.309999942779541
52,-10.670000076293945
53,-10.039999961853027
54,-7.940000057220459
55,-6.309999942779541
56,-10.670000076293945
57,-9.90999984741211
58,-8.949999809265137
59,-8.34000015258789
60,-8.34000015258789
61,-8.119999885559082
62,-7.940000057220459
63,-8.119999885559082
64,-9.220000267028809
65,-8.34000015258789
66,-8.34000015258789
67,-8.34000015258789
68,-8.34000015258789
69,-7.940000057220459
70,-9.90999984741211
71,-6.309999942779541
72,-10.039999961853027
73,-11.369999885559082
74,-8.949999809265137
75,-9.90999984741211
76,-8.119999885559082
77,-9.90999984741211
78,-7.940000057220459
79,-9.979999542236328
80,-7.940000057220459
81,-9.90999984741211
82,-8.119999885559082
83,-7.940000057220459
84,-6.309999942779541
85,-6.309999942779541
86,-8.34000015258789
87,-6.309999942779541
88,-8.34000015258789
89,-7.940000057220459
90,-10.039999961853027
91,-7.940000057220459
92,-9.979999542236328
93,-10.039999961853027
94,-9.90999984741211
95,-8.34000015258789
96,-8.119999885559082
97,-8.119999885559082
98,-10.039999961853027
99,-6.309999942779541
100,-6.309999942779541
101,-7.940000057220459
102,-9.90999984741211
103,-9.220000267028809
104,-6.309999942779541
105,-6.309999942779541
106,-6.309999942779541
107,-10.039999961853027
108,-6.309999942779541
109,-6.309999942779541
110,-11.369999885559082
111,-8.34000015258789
112,-8.119999885559082
113,-10.670000076293945
114,-8.34000015258789
115,-6.309999942779541
116,-6.309999942779541
117,-8.119999885559082
118,-6.309999942779541
119,-6.309999942779541
120,-6.309999942779541
121,-7.940000057220459
122,-11.369999885559082
123,-9.90999984741211
124,-8.119999885559082
125,-7.940000057220459
126,-8.34000015258789
127,-10.859999656677246
128,-6.309999942779541
129,-8.34000015258789
130,-8.119999885559082
131,-8.119999885559082
132,-8.34000015258789
133,-8.949999809265137
134,-7.940000057220459
135,-6.309999942779541
136,-6.309999942779541
137,-8.34000015258789
138,-6.309999942779541
139,-10.039999961853027
140,-10.039999961853027
141,-10.039999961853027
142,-10.039999961853027
143,-8.34000015258789
144,-8.119999885559082
145,-6.309999942779541
146,-6.309999942779541
147,-7.940000057220459
148,-10.039999961853027
149,-6.309999942779541
150,-6.309999942779541
151,-9.90999984741211
152,-6.309999942779541
153,-8.34000015258789
154,-6.309999942779541
155,-8.34000015258789
156,-8.119999885559082
157,-8.34000015258789
158,-9.90999984741211
159,-10.039999961853027
160,-9.90999984741211
161,-6.309999942779541
162,-6.309999942779541
163,-6.309999942779541
164,-6.309999942779541
165,-6.309999942779541
166,-6.309999942779541
