,0
0,-6
1,-6
2,-7
3,-6
4,-6
5,-7
6,-7
7,-6
8,-6
9,-6
10,-7
11,-7
12,-6
13,-7
14,-6
15,-6
16,-6
17,-6
18,-7
19,-6
20,-6
21,-7
22,-6
23,-7
24,-6
25,-7
26,-6
27,-7
28,-6
29,-7
30,-6
31,-6
32,-7
33,-6
34,-6
35,-6
36,-7
37,-6
38,-7
39,-7
40,-6
41,-6
42,-7
43,-6
44,-6
45,-7
46,-7
47,-7
48,-6
49,-6
50,-6
51,-6
52,-7
53,-7
54,-7
55,-7
56,-7
57,-7
58,-7
59,-6
60,-7
61,-7
62,-7
63,-6
64,-7
65,-7
66,-6
67,-7
68,-6
69,-6
70,-7
71,-7
72,-7
73,-6
74,-6
75,-6
76,-7
77,-6
78,-7
79,-7
80,-6
81,-6
82,-6
83,-6
84,-6
85,-7
86,-7
87,-7
88,-7
89,-6
90,-7
91,-7
92,-7
93,-7
94,-7
95,-6
96,-7
97,-7
98,-6
99,-6
100,-7
101,-6
102,-6
103,-6
104,-6
105,-6
106,-6
107,-7
108,-7
109,-7
110,-6
111,-7
112,-7
113,-6
114,-6
115,-7
116,-6
117,-6
118,-7
119,-7
120,-6
121,-7
122,-6
123,-6
124,-7
125,-7
126,-6
127,-7
128,-7
129,-7
130,-7
131,-6
132,-6
133,-7
134,-6
135,-6
136,-7
137,-6
138,-6
139,-7
140,-6
141,-6
142,-6
143,-6
144,-6
145,-6
146,-6
147,-6
148,-7
149,-6
150,-7
151,-6
152,-7
153,-7
154,-6
155,-6
156,-6
157,-6
158,-6
159,-7
160,-6
161,-6
162,-6
163,-7
164,-8
165,-7
166,-7
167,-6
168,-6
169,-7
170,-6
171,-7
172,-7
173,-7
174,-6
175,-7
176,-6
177,-6
178,-7
179,-7
180,-6
181,-7
182,-6
183,-7
184,-7
185,-6
186,-7
187,-7
188,-8
189,-6
190,-8
191,-6
192,-7
193,-7
194,-6
195,-6
196,-6
197,-7
198,-6
199,-7
200,-7
201,-6
202,-7
203,-6
204,-6
205,-6
206,-6
207,-6
208,-6
209,-6
210,-7
211,-6
212,-7
213,-7
214,-7
215,-7
216,-6
217,-6
218,-7
219,-6
220,-6
221,-6
222,-7
223,-6
224,-6
225,-7
226,-6
227,-7
228,-7
229,-7
230,-6
231,-7
232,-6
233,-6
234,-6
235,-6
236,-6
237,-6
238,-7
239,-7
240,-6
241,-7
242,-6
243,-6
244,-6
245,-7
246,-7
247,-7
248,-7
249,-7
250,-7
251,-6
252,-8
253,-7
254,-6
255,-7
256,-7
257,-6
258,-7
259,-6
260,-7
261,-6
262,-7
263,-6
264,-7
265,-6
266,-7
267,-6
268,-7
269,-7
270,-7
271,-7
272,-6
273,-7
274,-6
275,-7
276,-6
277,-7
278,-6
279,-6
280,-7
281,-6
282,-7
283,-6
284,-7
285,-6
286,-6
287,-6
288,-6
289,-6
290,-6
291,-6
292,-8
293,-7
294,-7
295,-7
296,-7
297,-7
298,-7
299,-6
300,-7
301,-7
302,-6
303,-6
304,-6
305,-7
306,-6
307,-6
308,-7
309,-7
310,-7
311,-7
312,-7
313,-7
314,-6
315,-6
316,-7
317,-6
318,-6
319,-6
320,-7
321,-7
322,-7
323,-6
324,-6
325,-7
326,-6
327,-6
328,-6
329,-6
330,-7
331,-7
332,-6
333,-7
334,-7
335,-6
336,-8
337,-7
338,-7
339,-6
340,-7
341,-6
342,-7
343,-6
344,-6
345,-6
346,-6
347,-7
348,-6
349,-7
350,-6
351,-6
352,-6
353,-6
354,-6
355,-6
356,-6
357,-6
358,-6
359,-7
360,-6
361,-7
362,-7
363,-7
364,-7
365,-6
366,-7
367,-8
368,-7
369,-6
370,-6
371,-6
372,-6
373,-7
374,-7
375,-7
376,-6
377,-7
378,-7
379,-7
380,-8
381,-6
382,-6
383,-6
384,-6
385,-7
386,-7
387,-7
388,-6
389,-7
390,-6
391,-7
392,-6
393,-6
394,-7
395,-7
396,-6
397,-6
398,-6
399,-6
400,-7
401,-6
402,-7
403,-6
404,-6
405,-6
406,-7
407,-7
408,-7
409,-6
410,-6
411,-7
412,-7
413,-7
414,-6
415,-7
416,-7
417,-7
418,-6
419,-6
420,-6
421,-6
422,-7
423,-6
424,-6
425,-6
426,-6
427,-6
428,-7
429,-7
430,-7
431,-6
432,-6
433,-6
434,-7
435,-6
436,-7
437,-6
438,-6
439,-6
440,-6
441,-6
442,-7
443,-7
444,-7
445,-7
446,-6
447,-6
448,-6
449,-6
450,-6
451,-7
452,-6
453,-6
454,-6
455,-6
456,-6
457,-6
458,-7
459,-6
460,-6
461,-6
462,-6
463,-7
464,-7
465,-6
466,-6
467,-6
468,-6
469,-6
470,-6
471,-6
472,-6
473,-6
474,-7
475,-7
476,-6
477,-6
478,-7
479,-6
480,-6
481,-6
482,-6
483,-6
484,-6
485,-7
486,-6
487,-7
488,-6
489,-7
490,-6
491,-6
492,-6
493,-6
494,-7
495,-6
496,-6
497,-6
498,-6
499,-7
500,-6
501,-6
502,-7
503,-7
504,-6
505,-6
506,-7
507,-6
508,-6
509,-7
510,-7
511,-6
512,-7
513,-7
514,-6
515,-7
516,-7
517,-6
518,-7
519,-7
520,-6
521,-6
522,-6
523,-8
524,-7
525,-7
526,-7
527,-7
528,-6
529,-7
530,-6
531,-6
532,-7
533,-6
534,-6
535,-7
536,-6
537,-6
538,-6
539,-7
540,-6
541,-6
542,-6
543,-8
544,-6
545,-7
