,0
0,1
1,1
2,1
3,2
4,3
5,3
6,6
7,6
8,8
9,15
10,19
11,25
12,42
13,62
14,69
15,90
16,143
17,170
18,234
19,300
20,334
21,386
22,362
23,186
24,88
25,40
26,11
27,9
28,3
